Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 13:33:19.059041,216,684,788
2015-06-12 13:33:19.158490,220,684,772
2015-06-12 13:33:19.257939,216,680,768
2015-06-12 13:33:19.357388,212,684,776
2015-06-12 13:33:19.456837,208,680,772
2015-06-12 13:33:19.556286,212,684,776
2015-06-12 13:33:19.655735,212,688,784
2015-06-12 13:33:19.755184,200,692,772
2015-06-12 13:33:19.854633,216,688,788
2015-06-12 13:33:19.954082,208,684,772
2015-06-12 13:33:20.053531,208,688,768
2015-06-12 13:33:20.152980,208,696,776
2015-06-12 13:33:20.252429,212,692,768
2015-06-12 13:33:20.351878,212,684,760
2015-06-12 13:33:20.451327,220,692,776
2015-06-12 13:33:20.550776,216,684,788
2015-06-12 13:33:20.650225,208,688,768
2015-06-12 13:33:20.749674,216,684,776
2015-06-12 13:33:20.849123,208,692,768
2015-06-12 13:33:20.948572,208,696,784
2015-06-12 13:33:21.048021,200,700,772
2015-06-12 13:33:21.147470,196,692,776
2015-06-12 13:33:21.246919,196,700,788
2015-06-12 13:33:21.346368,192,716,752
2015-06-12 13:33:21.445817,188,708,756
2015-06-12 13:33:21.545266,192,700,752
2015-06-12 13:33:21.644715,172,704,744
2015-06-12 13:33:21.744164,160,716,768
2015-06-12 13:33:21.843613,152,732,784
2015-06-12 13:33:21.943062,148,740,752
2015-06-12 13:33:22.042511,152,724,752
2015-06-12 13:33:22.141960,136,728,740
2015-06-12 13:33:22.241409,140,736,756
2015-06-12 13:33:22.340858,140,732,764
2015-06-12 13:33:22.440307,140,736,748
2015-06-12 13:33:22.539756,132,716,800
2015-06-12 13:33:22.639205,164,728,796
2015-06-12 13:33:22.738654,180,692,756
2015-06-12 13:33:22.838103,180,668,740
2015-06-12 13:33:22.937552,188,708,764
2015-06-12 13:33:23.037001,212,716,764
2015-06-12 13:33:23.136450,216,700,784
2015-06-12 13:33:23.235899,220,680,784
2015-06-12 13:33:23.335348,224,680,796
2015-06-12 13:33:23.434797,220,676,780
2015-06-12 13:33:23.534246,228,680,792
2015-06-12 13:33:23.633695,224,676,780
2015-06-12 13:33:23.733144,228,680,768
2015-06-12 13:33:23.832593,232,688,756
2015-06-12 13:33:23.932042,244,688,772
2015-06-12 13:33:24.031491,220,700,832
2015-06-12 13:33:24.130940,212,708,780
2015-06-12 13:33:24.230389,220,696,728
2015-06-12 13:33:24.329838,224,692,740
2015-06-12 13:33:24.429287,220,684,756
2015-06-12 13:33:24.528736,220,684,760
2015-06-12 13:33:24.628185,212,684,760
2015-06-12 13:33:24.727634,208,696,768
2015-06-12 13:33:24.827083,216,684,776
2015-06-12 13:33:24.926532,220,688,788
2015-06-12 13:33:25.025981,208,696,788
2015-06-12 13:33:25.125430,208,684,764
2015-06-12 13:33:25.224879,216,680,752
2015-06-12 13:33:25.324328,212,688,780
2015-06-12 13:33:25.423777,212,688,796
2015-06-12 13:33:25.523226,220,692,776
2015-06-12 13:33:25.622675,216,692,772
2015-06-12 13:33:25.722124,216,688,772
2015-06-12 13:33:25.821573,212,692,784
2015-06-12 13:33:25.921022,212,692,764
2015-06-12 13:33:26.020471,196,708,756
2015-06-12 13:33:26.119920,204,692,776
2015-06-12 13:33:26.219369,208,688,772
2015-06-12 13:33:26.318818,212,704,756
2015-06-12 13:33:26.418267,216,712,752
2015-06-12 13:33:26.517716,208,716,760
2015-06-12 13:33:26.617165,204,708,760
2015-06-12 13:33:26.716614,208,712,756
2015-06-12 13:33:26.816063,200,708,740
2015-06-12 13:33:26.915512,196,712,744
2015-06-12 13:33:27.014961,192,716,740
2015-06-12 13:33:27.114410,204,720,764
2015-06-12 13:33:27.213859,204,720,756
2015-06-12 13:33:27.313308,208,712,728
2015-06-12 13:33:27.412757,204,716,744
2015-06-12 13:33:27.512206,208,720,772
2015-06-12 13:33:27.611655,200,724,740
2015-06-12 13:33:27.711104,200,724,752
2015-06-12 13:33:27.810553,192,724,756
2015-06-12 13:33:27.910002,172,728,748
2015-06-12 13:33:28.009451,192,716,748
2015-06-12 13:33:28.108900,192,712,764
2015-06-12 13:33:28.208349,196,708,744
2015-06-12 13:33:28.307798,196,708,752
2015-06-12 13:33:28.407247,188,712,768
2015-06-12 13:33:28.506696,188,708,768
2015-06-12 13:33:28.606145,188,708,756
2015-06-12 13:33:28.705594,192,708,776
2015-06-12 13:33:28.805043,188,704,772
2015-06-12 13:33:28.904492,184,712,760
2015-06-12 13:33:29.003941,180,708,768
