Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:26:21.427041,-20,528,740
2015-06-12 14:26:21.526490,-40,560,856
2015-06-12 14:26:21.625939,-60,552,884
2015-06-12 14:26:21.725388,-68,544,932
2015-06-12 14:26:21.824837,-64,568,920
2015-06-12 14:26:21.924286,-64,580,856
2015-06-12 14:26:22.023735,-68,576,852
2015-06-12 14:26:22.123184,-64,596,852
2015-06-12 14:26:22.222633,-56,600,824
2015-06-12 14:26:22.322082,-56,604,824
2015-06-12 14:26:22.421531,-60,632,816
2015-06-12 14:26:22.520980,-68,636,840
2015-06-12 14:26:22.620429,-72,612,836
2015-06-12 14:26:22.719878,-60,608,832
2015-06-12 14:26:22.819327,-60,612,844
2015-06-12 14:26:22.918776,-68,624,840
2015-06-12 14:26:23.018225,-72,632,824
2015-06-12 14:26:23.117674,-72,636,820
2015-06-12 14:26:23.217123,-72,632,840
2015-06-12 14:26:23.316572,-72,620,840
2015-06-12 14:26:23.416021,-80,628,848
2015-06-12 14:26:23.515470,-76,632,816
2015-06-12 14:26:23.614919,-88,620,820
2015-06-12 14:26:23.714368,-88,620,848
2015-06-12 14:26:23.813817,-88,628,828
2015-06-12 14:26:23.913266,-84,624,832
2015-06-12 14:26:24.012715,-92,620,848
2015-06-12 14:26:24.112164,-88,600,880
2015-06-12 14:26:24.211613,-100,588,876
2015-06-12 14:26:24.311062,-80,612,860
2015-06-12 14:26:24.410511,-84,612,824
2015-06-12 14:26:24.509960,-72,600,844
2015-06-12 14:26:24.609409,-76,560,904
2015-06-12 14:26:24.708858,-80,524,904
2015-06-12 14:26:24.808307,-64,516,932
2015-06-12 14:26:24.907756,-56,508,932
2015-06-12 14:26:25.007205,-80,500,900
2015-06-12 14:26:25.106654,-76,508,908
2015-06-12 14:26:25.206103,-80,512,916
2015-06-12 14:26:25.305552,-76,512,920
2015-06-12 14:26:25.405001,-92,476,928
2015-06-12 14:26:25.504450,-152,448,908
2015-06-12 14:26:25.603899,-160,468,964
2015-06-12 14:26:25.703348,-140,456,952
2015-06-12 14:26:25.802797,-128,476,908
2015-06-12 14:26:25.902246,-104,480,920
2015-06-12 14:26:26.001695,-120,480,876
2015-06-12 14:26:26.101144,-124,516,876
2015-06-12 14:26:26.200593,-132,532,924
2015-06-12 14:26:26.300042,-140,532,900
2015-06-12 14:26:26.399491,-156,492,896
