Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:08:07.488041,160,728,740
2015-06-12 14:08:07.587490,168,728,752
2015-06-12 14:08:07.686939,164,728,748
2015-06-12 14:08:07.786388,172,724,756
2015-06-12 14:08:07.885837,176,720,756
2015-06-12 14:08:07.985286,176,716,764
2015-06-12 14:08:08.084735,176,712,764
2015-06-12 14:08:08.184184,188,700,764
2015-06-12 14:08:08.283633,184,692,764
2015-06-12 14:08:08.383082,200,700,744
2015-06-12 14:08:08.482531,216,696,772
2015-06-12 14:08:08.581980,224,676,772
2015-06-12 14:08:08.681429,240,676,788
2015-06-12 14:08:08.780878,244,684,760
2015-06-12 14:08:08.880327,256,676,756
2015-06-12 14:08:08.979776,264,664,772
2015-06-12 14:08:09.079225,264,660,772
2015-06-12 14:08:09.178674,260,660,776
2015-06-12 14:08:09.278123,264,660,776
2015-06-12 14:08:09.377572,268,652,772
2015-06-12 14:08:09.477021,264,648,772
2015-06-12 14:08:09.576470,260,648,784
2015-06-12 14:08:09.675919,256,664,792
2015-06-12 14:08:09.775368,252,672,780
2015-06-12 14:08:09.874817,264,660,752
2015-06-12 14:08:09.974266,264,660,744
2015-06-12 14:08:10.073715,268,660,756
2015-06-12 14:08:10.173164,264,664,768
2015-06-12 14:08:10.272613,256,684,740
2015-06-12 14:08:10.372062,248,700,736
2015-06-12 14:08:10.471511,240,712,736
2015-06-12 14:08:10.570960,236,720,744
2015-06-12 14:08:10.670409,236,712,748
2015-06-12 14:08:10.769858,232,712,724
2015-06-12 14:08:10.869307,232,720,740
2015-06-12 14:08:10.968756,232,720,744
2015-06-12 14:08:11.068205,236,720,748
2015-06-12 14:08:11.167654,232,720,736
2015-06-12 14:08:11.267103,232,720,744
2015-06-12 14:08:11.366552,232,720,748
2015-06-12 14:08:11.466001,236,716,748
2015-06-12 14:08:11.565450,236,708,736
2015-06-12 14:08:11.664899,232,712,732
2015-06-12 14:08:11.764348,232,712,744
2015-06-12 14:08:11.863797,224,724,736
2015-06-12 14:08:11.963246,224,724,736
2015-06-12 14:08:12.062695,220,724,740
2015-06-12 14:08:12.162144,220,724,744
2015-06-12 14:08:12.261593,216,728,736
2015-06-12 14:08:12.361042,208,724,732
2015-06-12 14:08:12.460491,212,728,700
2015-06-12 14:08:12.559940,212,728,736
2015-06-12 14:08:12.659389,220,720,740
2015-06-12 14:08:12.758838,216,724,720
2015-06-12 14:08:12.858287,220,736,708
2015-06-12 14:08:12.957736,212,740,724
2015-06-12 14:08:13.057185,212,744,724
2015-06-12 14:08:13.156634,208,748,708
2015-06-12 14:08:13.256083,204,748,724
2015-06-12 14:08:13.355532,208,744,720
2015-06-12 14:08:13.454981,204,752,724
2015-06-12 14:08:13.554430,204,752,720
2015-06-12 14:08:13.653879,200,744,720
2015-06-12 14:08:13.753328,204,736,708
2015-06-12 14:08:13.852777,200,744,716
2015-06-12 14:08:13.952226,196,740,724
2015-06-12 14:08:14.051675,196,748,724
2015-06-12 14:08:14.151124,196,736,716
2015-06-12 14:08:14.250573,204,740,712
2015-06-12 14:08:14.350022,196,744,716
2015-06-12 14:08:14.449471,192,748,724
2015-06-12 14:08:14.548920,196,744,724
2015-06-12 14:08:14.648369,192,748,716
2015-06-12 14:08:14.747818,188,740,720
