Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:36:18.121041,196,716,748
2015-06-12 14:36:18.220490,188,736,724
2015-06-12 14:36:18.319939,204,732,720
2015-06-12 14:36:18.419388,196,720,748
2015-06-12 14:36:18.518837,212,720,764
2015-06-12 14:36:18.618286,212,736,728
2015-06-12 14:36:18.717735,204,696,760
2015-06-12 14:36:18.817184,200,724,740
2015-06-12 14:36:18.916633,180,740,736
2015-06-12 14:36:19.016082,196,728,744
2015-06-12 14:36:19.115531,184,708,768
2015-06-12 14:36:19.214980,200,720,744
2015-06-12 14:36:19.314429,200,736,728
2015-06-12 14:36:19.413878,200,692,744
2015-06-12 14:36:19.513327,176,712,752
2015-06-12 14:36:19.612776,172,748,712
2015-06-12 14:36:19.712225,196,728,744
2015-06-12 14:36:19.811674,196,716,764
2015-06-12 14:36:19.911123,208,720,732
2015-06-12 14:36:20.010572,204,720,732
2015-06-12 14:36:20.110021,204,704,728
2015-06-12 14:36:20.209470,200,740,740
2015-06-12 14:36:20.308919,196,752,736
2015-06-12 14:36:20.408368,192,728,748
2015-06-12 14:36:20.507817,192,724,744
2015-06-12 14:36:20.607266,204,744,708
2015-06-12 14:36:20.706715,196,732,752
2015-06-12 14:36:20.806164,184,692,796
2015-06-12 14:36:20.905613,188,740,716
2015-06-12 14:36:21.005062,196,736,724
2015-06-12 14:36:21.104511,200,720,744
2015-06-12 14:36:21.203960,192,716,764
2015-06-12 14:36:21.303409,188,736,716
2015-06-12 14:36:21.402858,192,700,764
2015-06-12 14:36:21.502307,192,700,768
2015-06-12 14:36:21.601756,204,716,708
2015-06-12 14:36:21.701205,200,724,740
2015-06-12 14:36:21.800654,184,708,744
2015-06-12 14:36:21.900103,192,720,764
2015-06-12 14:36:21.999552,192,736,728
2015-06-12 14:36:22.099001,196,708,760
2015-06-12 14:36:22.198450,184,692,792
2015-06-12 14:36:22.297899,192,716,724
2015-06-12 14:36:22.397348,188,724,736
2015-06-12 14:36:22.496797,188,712,744
2015-06-12 14:36:22.596246,188,716,752
2015-06-12 14:36:22.695695,192,712,744
2015-06-12 14:36:22.795144,204,736,712
2015-06-12 14:36:22.894593,200,724,736
2015-06-12 14:36:22.994042,204,712,748
2015-06-12 14:36:23.093491,200,720,748
2015-06-12 14:36:23.192940,204,724,736
2015-06-12 14:36:23.292389,200,724,744
2015-06-12 14:36:23.391838,204,724,740
2015-06-12 14:36:23.491287,204,720,752
2015-06-12 14:36:23.590736,196,724,744
2015-06-12 14:36:23.690185,196,724,732
2015-06-12 14:36:23.789634,204,720,756
2015-06-12 14:36:23.889083,200,720,748
2015-06-12 14:36:23.988532,192,720,744
2015-06-12 14:36:24.087981,192,728,752
2015-06-12 14:36:24.187430,192,724,752
2015-06-12 14:36:24.286879,196,716,736
2015-06-12 14:36:24.386328,196,712,740
2015-06-12 14:36:24.485777,200,720,748
2015-06-12 14:36:24.585226,204,716,736
2015-06-12 14:36:24.684675,200,708,756
2015-06-12 14:36:24.784124,204,712,748
2015-06-12 14:36:24.883573,200,716,744
2015-06-12 14:36:24.983022,200,712,748
2015-06-12 14:36:25.082471,196,716,744
2015-06-12 14:36:25.181920,192,716,752
2015-06-12 14:36:25.281369,200,720,744
2015-06-12 14:36:25.380818,200,720,740
2015-06-12 14:36:25.480267,200,716,748
2015-06-12 14:36:25.579716,196,720,752
2015-06-12 14:36:25.679165,200,712,744
2015-06-12 14:36:25.778614,200,720,752
2015-06-12 14:36:25.878063,196,720,748
2015-06-12 14:36:25.977512,192,724,740
2015-06-12 14:36:26.076961,192,720,752
2015-06-12 14:36:26.176410,188,728,740
2015-06-12 14:36:26.275859,212,720,752
2015-06-12 14:36:26.375308,196,700,744
2015-06-12 14:36:26.474757,208,724,724
2015-06-12 14:36:26.574206,216,740,736
2015-06-12 14:36:26.673655,212,728,736
2015-06-12 14:36:26.773104,220,716,736
2015-06-12 14:36:26.872553,216,716,732
2015-06-12 14:36:26.972002,220,732,732
2015-06-12 14:36:27.071451,212,728,752
2015-06-12 14:36:27.170900,208,720,736
2015-06-12 14:36:27.270349,196,724,764
2015-06-12 14:36:27.369798,192,716,732
2015-06-12 14:36:27.469247,208,724,748
2015-06-12 14:36:27.568696,204,716,740
2015-06-12 14:36:27.668145,204,732,744
2015-06-12 14:36:27.767594,204,728,736
2015-06-12 14:36:27.867043,204,712,752
2015-06-12 14:36:27.966492,204,716,736
2015-06-12 14:36:28.065941,196,728,736
2015-06-12 14:36:28.165390,208,728,724
2015-06-12 14:36:28.264839,212,732,724
2015-06-12 14:36:28.364288,204,708,760
2015-06-12 14:36:28.463737,200,724,748
2015-06-12 14:36:28.563186,204,740,712
2015-06-12 14:36:28.662635,200,728,744
2015-06-12 14:36:28.762084,204,680,772
2015-06-12 14:36:28.861533,200,732,724
2015-06-12 14:36:28.960982,196,736,724
2015-06-12 14:36:29.060431,200,728,744
2015-06-12 14:36:29.159880,216,716,748
2015-06-12 14:36:29.259329,208,720,712
2015-06-12 14:36:29.358778,220,720,740
2015-06-12 14:36:29.458227,208,736,740
2015-06-12 14:36:29.557676,216,744,752
2015-06-12 14:36:29.657125,216,700,752
2015-06-12 14:36:29.756574,216,684,748
2015-06-12 14:36:29.856023,224,736,684
2015-06-12 14:36:29.955472,212,732,728
2015-06-12 14:36:30.054921,208,692,752
2015-06-12 14:36:30.154370,204,704,744
2015-06-12 14:36:30.253819,220,724,700
2015-06-12 14:36:30.353268,208,712,740
2015-06-12 14:36:30.452717,216,684,772
2015-06-12 14:36:30.552166,228,712,712
2015-06-12 14:36:30.651615,224,728,736
2015-06-12 14:36:30.751064,220,708,724
2015-06-12 14:36:30.850513,208,716,732
2015-06-12 14:36:30.949962,224,736,700
2015-06-12 14:36:31.049411,212,716,740
2015-06-12 14:36:31.148860,208,704,756
2015-06-12 14:36:31.248309,216,732,704
2015-06-12 14:36:31.347758,208,752,716
2015-06-12 14:36:31.447207,220,724,728
2015-06-12 14:36:31.546656,204,728,728
2015-06-12 14:36:31.646105,220,736,716
2015-06-12 14:36:31.745554,216,712,732
2015-06-12 14:36:31.845003,220,692,760
2015-06-12 14:36:31.944452,216,732,708
2015-06-12 14:36:32.043901,208,752,716
2015-06-12 14:36:32.143350,208,740,748
2015-06-12 14:36:32.242799,216,728,720
2015-06-12 14:36:32.342248,232,740,716
2015-06-12 14:36:32.441697,212,740,720
2015-06-12 14:36:32.541146,208,704,768
2015-06-12 14:36:32.640595,212,728,720
2015-06-12 14:36:32.740044,192,748,724
2015-06-12 14:36:32.839493,196,748,744
2015-06-12 14:36:32.938942,200,740,732
2015-06-12 14:36:33.038391,208,748,736
2015-06-12 14:36:33.137840,200,744,728
2015-06-12 14:36:33.237289,204,708,756
2015-06-12 14:36:33.336738,204,708,744
2015-06-12 14:36:33.436187,204,732,696
2015-06-12 14:36:33.535636,204,740,748
2015-06-12 14:36:33.635085,208,720,728
2015-06-12 14:36:33.734534,216,728,732
2015-06-12 14:36:33.833983,200,740,724
2015-06-12 14:36:33.933432,200,704,744
2015-06-12 14:36:34.032881,204,708,748
2015-06-12 14:36:34.132330,212,736,688
2015-06-12 14:36:34.231779,200,736,724
2015-06-12 14:36:34.331228,196,712,716
2015-06-12 14:36:34.430677,188,736,728
2015-06-12 14:36:34.530126,192,748,724
2015-06-12 14:36:34.629575,188,720,752
2015-06-12 14:36:34.729024,204,704,752
2015-06-12 14:36:34.828473,212,740,696
2015-06-12 14:36:34.927922,200,760,724
2015-06-12 14:36:35.027371,204,744,752
2015-06-12 14:36:35.126820,196,728,740
2015-06-12 14:36:35.226269,216,748,696
2015-06-12 14:36:35.325718,212,728,728
2015-06-12 14:36:35.425167,216,708,740
2015-06-12 14:36:35.524616,208,732,724
2015-06-12 14:36:35.624065,200,744,716
2015-06-12 14:36:35.723514,200,744,736
2015-06-12 14:36:35.822963,200,720,728
2015-06-12 14:36:35.922412,200,736,748
2015-06-12 14:36:36.021861,192,744,740
2015-06-12 14:36:36.121310,192,716,772
2015-06-12 14:36:36.220759,204,704,756
2015-06-12 14:36:36.320208,216,720,680
2015-06-12 14:36:36.419657,212,728,744
2015-06-12 14:36:36.519106,208,712,728
2015-06-12 14:36:36.618555,192,736,732
2015-06-12 14:36:36.718004,200,744,700
2015-06-12 14:36:36.817453,196,720,756
2015-06-12 14:36:36.916902,204,708,716
2015-06-12 14:36:37.016351,204,744,712
2015-06-12 14:36:37.115800,192,760,720
2015-06-12 14:36:37.215249,196,752,748
2015-06-12 14:36:37.314698,208,736,728
2015-06-12 14:36:37.414147,224,744,708
2015-06-12 14:36:37.513596,208,740,740
2015-06-12 14:36:37.613045,208,704,748
2015-06-12 14:36:37.712494,204,712,736
2015-06-12 14:36:37.811943,200,732,712
2015-06-12 14:36:37.911392,200,736,736
2015-06-12 14:36:38.010841,196,712,740
2015-06-12 14:36:38.110290,196,728,744
2015-06-12 14:36:38.209739,196,744,712
2015-06-12 14:36:38.309188,200,712,752
2015-06-12 14:36:38.408637,212,692,748
2015-06-12 14:36:38.508086,208,732,696
2015-06-12 14:36:38.607535,196,744,732
2015-06-12 14:36:38.706984,204,740,736
2015-06-12 14:36:38.806433,200,732,728
2015-06-12 14:36:38.905882,208,748,704
2015-06-12 14:36:39.005331,200,732,736
2015-06-12 14:36:39.104780,196,708,764
2015-06-12 14:36:39.204229,196,740,728
2015-06-12 14:36:39.303678,180,748,736
2015-06-12 14:36:39.403127,196,748,744
