Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:11:40.010554,-560,444,736
2015-06-12 14:11:40.110003,-572,440,720
2015-06-12 14:11:40.209452,-532,532,720
2015-06-12 14:11:40.308901,-528,500,732
2015-06-12 14:11:40.408350,-564,572,612
2015-06-12 14:11:40.507799,-584,624,600
2015-06-12 14:11:40.607248,-572,628,592
2015-06-12 14:11:40.706697,-552,584,516
2015-06-12 14:11:40.806146,-548,660,528
2015-06-12 14:11:40.905595,-544,672,556
2015-06-12 14:11:41.005044,-564,664,596
2015-06-12 14:11:41.104493,-572,676,604
2015-06-12 14:11:41.203942,-576,664,632
2015-06-12 14:11:41.303391,-560,628,628
2015-06-12 14:11:41.402840,-544,644,624
2015-06-12 14:11:41.502289,-528,640,628
2015-06-12 14:11:41.601738,-512,640,616
2015-06-12 14:11:41.701187,-520,632,600
2015-06-12 14:11:41.800636,-520,632,628
2015-06-12 14:11:41.900085,-528,648,612
2015-06-12 14:11:41.999534,-536,652,596
2015-06-12 14:11:42.098983,-540,648,604
2015-06-12 14:11:42.198432,-544,644,616
2015-06-12 14:11:42.297881,-536,640,612
2015-06-12 14:11:42.397330,-532,636,596
2015-06-12 14:11:42.496779,-532,636,592
2015-06-12 14:11:42.596228,-540,640,604
2015-06-12 14:11:42.695677,-540,640,632
2015-06-12 14:11:42.795126,-540,632,612
2015-06-12 14:11:42.894575,-544,632,600
2015-06-12 14:11:42.994024,-544,632,608
2015-06-12 14:11:43.093473,-544,640,624
2015-06-12 14:11:43.192922,-544,644,620
2015-06-12 14:11:43.292371,-540,640,616
2015-06-12 14:11:43.391820,-536,640,604
2015-06-12 14:11:43.491269,-536,644,620
2015-06-12 14:11:43.590718,-540,648,608
2015-06-12 14:11:43.690167,-540,644,600
2015-06-12 14:11:43.789616,-536,648,616
2015-06-12 14:11:43.889065,-540,640,600
2015-06-12 14:11:43.988514,-536,632,620
2015-06-12 14:11:44.087963,-540,632,612
2015-06-12 14:11:44.187412,-540,640,616
2015-06-12 14:11:44.286861,-544,636,604
2015-06-12 14:11:44.386310,-536,640,624
2015-06-12 14:11:44.485759,-536,640,608
2015-06-12 14:11:44.585208,-536,640,604
2015-06-12 14:11:44.684657,-528,640,608
2015-06-12 14:11:44.784106,-532,640,608
2015-06-12 14:11:44.883555,-528,640,612
2015-06-12 14:11:44.983004,-540,632,612
2015-06-12 14:11:45.082453,-536,624,624
2015-06-12 14:11:45.181902,-532,632,628
2015-06-12 14:11:45.281351,-532,636,604
2015-06-12 14:11:45.380800,-532,632,612
2015-06-12 14:11:45.480249,-536,636,616
2015-06-12 14:11:45.579698,-536,636,604
2015-06-12 14:11:45.679147,-536,640,620
2015-06-12 14:11:45.778596,-532,644,616
2015-06-12 14:11:45.878045,-528,632,596
2015-06-12 14:11:45.977494,-528,632,608
2015-06-12 14:11:46.076943,-532,636,616
2015-06-12 14:11:46.176392,-532,628,624
2015-06-12 14:11:46.275841,-536,628,620
2015-06-12 14:11:46.375290,-540,632,624
2015-06-12 14:11:46.474739,-540,636,608
2015-06-12 14:11:46.574188,-540,636,620
2015-06-12 14:11:46.673637,-544,628,612
2015-06-12 14:11:46.773086,-528,636,636
2015-06-12 14:11:46.872535,-528,640,628
2015-06-12 14:11:46.971984,-532,632,628
2015-06-12 14:11:47.071433,-520,644,620
2015-06-12 14:11:47.170882,-520,636,616
2015-06-12 14:11:47.270331,-516,636,664
2015-06-12 14:11:47.369780,-508,620,660
2015-06-12 14:11:47.469229,-496,628,660
2015-06-12 14:11:47.568678,-488,624,676
2015-06-12 14:11:47.668127,-476,596,696
2015-06-12 14:11:47.767576,-480,632,668
2015-06-12 14:11:47.867025,-484,632,676
2015-06-12 14:11:47.966474,-480,624,672
2015-06-12 14:11:48.065923,-476,628,676
2015-06-12 14:11:48.165372,-480,632,692
2015-06-12 14:11:48.264821,-468,636,672
2015-06-12 14:11:48.364270,-468,624,668
2015-06-12 14:11:48.463719,-476,632,672
2015-06-12 14:11:48.563168,-480,624,672
2015-06-12 14:11:48.662617,-476,628,676
2015-06-12 14:11:48.762066,-484,628,672
2015-06-12 14:11:48.861515,-480,636,680
2015-06-12 14:11:48.960964,-480,636,672
2015-06-12 14:11:49.060413,-484,640,656
2015-06-12 14:11:49.159862,-484,632,668
2015-06-12 14:11:49.259311,-484,632,672
2015-06-12 14:11:49.358760,-476,632,668
2015-06-12 14:11:49.458209,-480,620,672
2015-06-12 14:11:49.557658,-488,624,652
2015-06-12 14:11:49.657107,-488,624,668
2015-06-12 14:11:49.756556,-488,624,660
2015-06-12 14:11:49.856005,-488,624,676
2015-06-12 14:11:49.955454,-492,628,664
2015-06-12 14:11:50.054903,-488,620,668
2015-06-12 14:11:50.154352,-488,628,664
2015-06-12 14:11:50.253801,-492,628,660
2015-06-12 14:11:50.353250,-488,624,664
2015-06-12 14:11:50.452699,-488,628,668
2015-06-12 14:11:50.552148,-492,628,664
2015-06-12 14:11:50.651597,-496,628,664
2015-06-12 14:11:50.751046,-492,624,660
2015-06-12 14:11:50.850495,-496,620,664
2015-06-12 14:11:50.949944,-492,624,660
2015-06-12 14:11:51.049393,-488,632,656
2015-06-12 14:11:51.148842,-480,624,660
2015-06-12 14:11:51.248291,-492,624,656
2015-06-12 14:11:51.347740,-496,624,660
2015-06-12 14:11:51.447189,-500,624,656
2015-06-12 14:11:51.546638,-508,628,656
2015-06-12 14:11:51.646087,-508,636,648
2015-06-12 14:11:51.745536,-500,628,672
2015-06-12 14:11:51.844985,-508,624,648
2015-06-12 14:11:51.944434,-508,620,648
2015-06-12 14:11:52.043883,-508,620,648
2015-06-12 14:11:52.143332,-512,620,656
2015-06-12 14:11:52.242781,-496,632,660
2015-06-12 14:11:52.342230,-496,628,644
2015-06-12 14:11:52.441679,-508,632,640
2015-06-12 14:11:52.541128,-508,628,656
2015-06-12 14:11:52.640577,-504,636,656
2015-06-12 14:11:52.740026,-500,636,648
2015-06-12 14:11:52.839475,-508,632,656
2015-06-12 14:11:52.938924,-508,632,656
2015-06-12 14:11:53.038373,-504,632,656
2015-06-12 14:11:53.137822,-500,624,660
2015-06-12 14:11:53.237271,-496,620,672
2015-06-12 14:11:53.336720,-484,628,676
2015-06-12 14:11:53.436169,-492,620,668
2015-06-12 14:11:53.535618,-496,624,668
2015-06-12 14:11:53.635067,-500,620,660
2015-06-12 14:11:53.734516,-488,628,664
2015-06-12 14:11:53.833965,-484,620,676
2015-06-12 14:11:53.933414,-480,628,668
2015-06-12 14:11:54.032863,-476,628,672
2015-06-12 14:11:54.132312,-480,620,672
2015-06-12 14:11:54.231761,-488,600,708
2015-06-12 14:11:54.331210,-484,608,704
2015-06-12 14:11:54.430659,-468,608,708
2015-06-12 14:11:54.530108,-468,608,692
2015-06-12 14:11:54.629557,-476,604,708
2015-06-12 14:11:54.729006,-492,588,692
2015-06-12 14:11:54.828455,-472,596,704
2015-06-12 14:11:54.927904,-480,580,720
2015-06-12 14:11:55.027353,-484,580,708
2015-06-12 14:11:55.126802,-484,576,728
2015-06-12 14:11:55.226251,-500,576,680
2015-06-12 14:11:55.325700,-460,600,716
2015-06-12 14:11:55.425149,-460,592,688
2015-06-12 14:11:55.524598,-476,600,724
2015-06-12 14:11:55.624047,-476,604,700
2015-06-12 14:11:55.723496,-464,616,768
2015-06-12 14:11:55.822945,-500,560,780
2015-06-12 14:11:55.922394,-596,400,696
2015-06-12 14:11:56.021843,-616,384,704
2015-06-12 14:11:56.121292,-572,492,720
2015-06-12 14:11:56.220741,-528,628,720
2015-06-12 14:11:56.320190,-516,624,752
2015-06-12 14:11:56.419639,-528,464,812
2015-06-12 14:11:56.519088,-536,384,760
2015-06-12 14:11:56.618537,-520,456,784
2015-06-12 14:11:56.717986,-456,580,828
2015-06-12 14:11:56.817435,-436,524,856
2015-06-12 14:11:56.916884,-424,472,864
2015-06-12 14:11:57.016333,-428,436,808
2015-06-12 14:11:57.115782,-432,264,956
2015-06-12 14:11:57.215231,-516,340,940
2015-06-12 14:11:57.314680,-496,412,912
2015-06-12 14:11:57.414129,-428,504,940
2015-06-12 14:11:57.513578,-184,520,1324
2015-06-12 14:11:57.613027,-184,516,716
2015-06-12 14:11:57.712476,-200,556,732
2015-06-12 14:11:57.811925,-284,596,728
