timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
4300,3.8979,-2.33682,-8.19804,-2.80762,-19.28711,-12.45117,3.87875,-2.19796,-9.31857,0.12207,0.61035,-2.2583
4400,3.93621,-2.11655,-8.26508,-3.11279,-19.28711,-12.08496,3.84044,-2.03993,-9.3042,0.79346,1.52588,-2.62451
4500,3.87875,-2.26978,-8.30339,-3.11279,-19.28711,-12.87842,3.76861,-2.20753,-9.36166,3.05176,0.61035,-1.46484
4600,3.86917,-2.17401,-8.28423,-3.479,-19.40918,-11.71875,3.77819,-1.99684,-9.30899,0.0,0.73242,-1.0376
4700,3.8979,-2.19317,-8.31296,-3.90625,-20.08057,-11.71875,3.85959,-2.11176,-9.39518,2.2583,0.73242,-0.79346
4800,3.91705,-2.2219,-8.33212,-3.11279,-19.71436,-12.08496,3.8548,-2.04951,-9.41434,-0.18311,1.40381,-0.79346
4900,3.85959,-2.19317,-8.2555,-2.80762,-18.9209,-11.2915,3.82607,-2.15007,-9.31857,-0.85449,2.01416,-1.83105
5000,3.82128,-2.28894,-8.29381,-4.57764,-18.9209,-12.08496,3.79734,-2.06866,-9.39039,-2.62451,0.12207,-0.06104
5100,3.8979,-2.20274,-8.22677,-3.17383,-19.71436,-11.23047,3.85001,-2.04951,-9.26589,-0.73242,0.54932,-1.83105
5200,3.88832,-2.0974,-8.3417,-2.80762,-19.71436,-13.67188,3.82128,-2.05909,-9.3473,0.12207,1.40381,-0.67139
5300,3.86917,-2.28894,-8.24592,-3.11279,-20.01953,-11.71875,3.82607,-2.11176,-9.32814,0.67139,0.73242,-1.40381
5400,3.88832,-2.17401,-8.27466,-3.11279,-18.9209,-12.87842,3.8548,-2.07345,-9.32335,1.09863,2.0752,-1.2207
5500,3.85001,-2.40386,-8.3417,-2.80762,-19.28711,-12.08496,3.7734,-2.28415,-9.39039,0.42725,0.79346,-0.97656
5600,3.97452,-2.17401,-8.19804,-3.11279,-20.01953,-12.08496,3.92663,-2.08303,-9.21801,-1.09863,0.54932,-1.64795
5700,3.80213,-2.27936,-8.32254,-3.479,-20.01953,-12.45117,3.6872,-2.07824,-9.41434,0.91553,1.0376,-0.06104
5800,3.85959,-2.20274,-8.30339,-2.50244,-20.01953,-11.71875,3.83086,-2.04951,-9.41913,-0.12207,1.0376,-1.95312
5900,3.87875,-2.30809,-8.2555,-3.90625,-19.71436,-11.2915,3.83086,-2.26978,-9.25631,0.42725,1.64795,0.0
6000,3.85001,-2.11655,-8.23635,-2.50244,-19.28711,-12.39014,3.80213,-1.95374,-9.39039,-1.15967,0.30518,-2.2583
6100,3.90748,-2.31767,-8.24592,-2.80762,-19.71436,-12.08496,3.84044,-2.26021,-9.31378,1.77002,0.73242,-0.85449
6200,3.83086,-2.27936,-8.36085,-3.11279,-19.71436,-11.71875,3.81171,-2.21232,-9.32335,-0.42725,0.12207,-1.52588
6300,3.97452,-2.17401,-8.15015,-3.11279,-19.71436,-11.2915,3.941,-2.04472,-9.23716,0.54932,-0.91553,-2.19727
6400,3.82128,-2.16444,-8.31296,-2.50244,-19.71436,-12.45117,3.71115,-2.06388,-9.38082,2.74658,1.89209,-1.28174
6500,3.86917,-2.29852,-8.31296,-2.50244,-19.71436,-12.39014,3.80692,-2.19317,-9.33772,-0.48828,0.67139,-1.95312
6600,3.98409,-2.05909,-8.23635,-3.11279,-19.71436,-12.45117,3.92663,-1.95853,-9.28505,0.85449,1.58691,-0.97656
6700,3.91705,-2.29852,-8.35127,-3.11279,-20.38574,-11.71875,3.81649,-2.16922,-9.46222,0.73242,0.91553,-1.2207
6800,3.91705,-2.19317,-8.27466,-2.80762,-18.9209,-12.08496,3.83086,-2.08303,-9.28505,0.0,0.91553,-1.77002
6900,3.93621,-2.28894,-8.33212,-2.80762,-19.28711,-12.45117,3.8979,-2.16922,-9.36166,-0.30518,0.24414,-0.54932
7000,3.95536,-2.0974,-8.18846,-3.11279,-19.71436,-12.08496,3.94579,-1.94416,-9.22758,-0.18311,1.2207,-1.58691
7100,3.88832,-2.14528,-8.28423,-2.80762,-19.28711,-11.71875,3.83565,-2.0112,-9.36166,2.01416,0.97656,-1.28174
7200,3.94579,-2.25063,-8.30339,-3.11279,-18.9209,-11.2915,3.87875,-2.16922,-9.31378,1.40381,0.97656,-0.79346
7300,3.94579,-2.12613,-8.30339,-3.90625,-18.9209,-12.08496,3.90269,-2.01599,-9.40476,-0.06104,1.70898,-1.46484
7400,3.8979,-2.21232,-8.36085,-3.479,-19.28711,-12.45117,3.87396,-2.14049,-9.38082,1.2207,1.89209,-0.79346
