timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
4300,3.20834,-1.7622,-10.62106,-8.17871,10.43701,-21.05713,2.91145,-2.10218,-11.84693,8.72803,-7.32422,37.47559
4400,1.7622,-2.28894,-10.48698,-6.34766,11.59668,-20.26367,1.51319,-2.72949,-11.23878,-30.70068,-12.45117,33.93555
4500,0.0,-1.89628,-9.2611,-5.61523,10.43701,-22.2168,-0.67998,-1.41742,-9.84531,-16.54053,-16.60156,33.02002
4600,-1.72389,-1.78135,-9.03125,-3.78418,10.80322,-21.97266,-2.16922,-1.3408,-9.94587,-20.56885,-25.32959,-19.47021
4700,1.32165,-1.10137,-8.69605,-3.41797,9.76562,-21.48438,1.63769,-1.69516,-9.45743,-17.94434,-7.8125,-38.14697
4800,3.05511,-1.32165,-7.5851,-3.11279,9.0332,-21.48438,2.8492,-2.14528,-8.88281,27.22168,13.18359,1.70898
4900,1.12053,-2.77737,-9.46222,-2.99072,9.76562,-21.48438,0.54111,-3.0599,-10.49177,54.99268,14.46533,43.45703
5000,-0.62251,-2.67202,-9.16533,-2.99072,11.23047,-21.05713,-0.90983,-2.11655,-10.01291,18.98193,8.23975,2.19727
5100,2.0112,-2.60498,-11.08076,-3.66211,11.90186,-20.69092,1.96332,-2.74864,-12.26833,-33.63037,22.03369,-12.146
5200,2.3464,-2.77737,-9.85489,-4.45557,10.80322,-21.85059,2.0112,-2.78216,-10.22839,-30.15137,17.51709,-4.69971
5300,4.26183,-0.92898,-7.9203,-4.76074,9.76562,-22.15576,4.24268,-1.75262,-9.27068,-6.65283,17.63916,5.7373
5400,3.17004,-1.09179,-8.10227,-4.76074,9.76562,-20.99609,2.8492,-0.9625,-8.38958,12.87842,17.21191,59.75342
5500,-0.18197,-1.48446,-8.37043,-4.45557,10.13184,-20.69092,-0.47407,-0.87631,-9.06477,-9.21631,-10.86426,19.53125
5600,-0.07662,-2.44217,-8.79182,-4.08936,10.80322,-20.99609,-0.24422,-2.07824,-9.70165,16.78467,-20.1416,-33.44727
5700,2.45175,-3.02638,-9.42391,-3.66211,11.23047,-20.20264,2.60977,-3.28017,-10.40078,20.38574,-15.19775,-54.32129
5800,3.48608,-1.63769,-7.5851,-4.45557,11.90186,-20.99609,3.19398,-2.67681,-8.68647,16.41846,8.91113,2.38037
5900,3.15088,-2.32725,-12.05763,-4.45557,11.90186,-19.77539,2.77737,-2.52358,-12.63705,-13.85498,-0.91553,51.81885
6000,1.50361,-2.57625,-10.97541,-3.66211,12.26807,-20.99609,1.31207,-2.53316,-11.12865,-26.06201,2.01416,40.77148
6100,0.64167,-1.58981,-9.38561,-2.62451,10.80322,-20.50781,-0.11014,-0.92898,-10.19966,-4.88281,-32.65381,23.01025
6200,-2.21232,-0.94814,-8.75351,-0.48828,10.43701,-20.99609,-2.59541,-0.56984,-9.78785,-11.2915,-41.87012,-26.9165
6300,1.3408,-0.68955,-7.90115,0.18311,11.23047,-20.99609,1.3408,-1.31686,-9.08871,-0.12207,-4.57764,-28.38135
6400,3.26581,-1.92501,-8.69605,-0.36621,10.13184,-21.3623,2.87314,-2.71991,-10.00333,50.41504,21.54541,1.89209
6500,0.66082,-2.94018,-9.61546,-0.73242,11.23047,-20.56885,0.34957,-2.65766,-10.29065,55.66406,11.47461,32.77588
6600,0.38309,-1.71431,-9.18449,0.0,12.69531,-19.40918,0.0431,-1.72389,-10.17093,12.146,6.28662,-0.36621
6700,1.59938,-2.03036,-10.4774,-1.46484,13.73291,-19.04297,1.38869,-1.51798,-11.7751,-39.55078,28.38135,-5.37109
6800,1.73346,-1.81008,-8.49493,-1.83105,13.3667,-19.77539,1.72868,-1.62812,-8.7583,-34.66797,21.60645,-22.2168
6900,6.52204,0.32562,-7.27863,-2.50244,11.90186,-20.08057,6.31134,-1.00081,-8.60507,-10.31494,12.45117,17.94434
7000,1.22588,-1.10137,-8.57155,-2.19727,11.59668,-20.50781,1.03912,-0.82842,-9.03604,13.3667,7.87354,67.07764
7100,-0.99602,-1.37911,-8.57155,-1.83105,12.26807,-20.87402,-1.27855,-0.59857,-9.39997,-11.47461,-8.91113,7.87354
7200,1.08222,-2.57625,-9.57715,-0.36621,11.90186,-20.56885,0.87631,-2.20274,-10.61627,11.41357,-15.74707,-47.72949
7300,3.17961,-2.72949,-9.71123,0.0,11.59668,-20.08057,3.55312,-3.20356,-10.56359,1.15967,-11.2915,-55.9082
7400,3.66805,-1.59938,-8.56197,-2.50244,11.90186,-21.24023,3.30412,-2.58104,-9.87883,10.37598,-0.73242,18.9209
7500,1.35038,-2.85399,-10.28586,-1.83105,11.2915,-20.50781,1.0487,-2.91145,-11.64581,-22.09473,-1.95312,35.33936
7600,0.96729,-2.17401,-9.04083,-0.36621,10.92529,-20.08057,0.53632,-1.82924,-9.51011,-17.76123,-9.39941,28.01514
