timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,1.77177,-7.24032,-6.55077,-9.15527,-2.68555,-19.40918,2.48048,-7.7096,-6.93386,-31.79932,21.66748,-39.42871
100,1.77177,-6.20599,-6.94343,-9.15527,-3.60107,-20.20264,2.46612,-6.5795,-7.18765,-28.50342,19.65332,-17.27295
200,1.81966,-4.96096,-5.84206,-8.30078,-5.06592,-18.24951,2.37992,-5.09504,-6.26824,1.0376,17.51709,-0.42725
300,1.87712,-6.78062,-7.06794,-8.66699,-6.5918,-17.82227,2.58104,-6.99132,-7.22596,19.04297,3.90625,-6.7749
400,2.3464,-7.17328,-7.1254,-9.52148,-4.88281,-18.24951,3.12694,-7.14455,-7.66172,3.05176,-11.2915,0.91553
500,1.62812,-6.10064,-7.09667,-9.52148,-4.45557,-17.82227,2.23148,-6.18684,-7.62341,-3.17383,-7.69043,7.20215
600,1.69516,-5.38236,-6.35923,-10.25391,-5.12695,-17.45605,2.46612,-5.47813,-6.68964,10.37598,-3.96729,8.66699
700,2.79653,-5.27701,-5.81333,-10.25391,-4.45557,-17.45605,3.52439,-5.59784,-6.30176,33.75244,-2.92969,17.33398
800,1.61854,-6.02403,-7.36483,-8.05664,-3.66211,-18.61572,2.25063,-6.21557,-8.02565,28.62549,-14.16016,22.76611
900,2.08782,-6.76147,-8.81098,-8.78906,-2.31934,-18.9209,3.08384,-6.47415,-9.67771,10.0708,-3.90625,0.97656
1000,1.51319,-5.75587,-8.44704,-7.20215,-1.64795,-18.55469,2.28894,-5.36799,-9.05998,-7.69043,8.17871,-11.47461
1100,1.91543,-5.27701,-7.68087,-10.92529,-1.64795,-19.77539,2.73906,-5.17166,-8.131,-9.27734,20.38574,-31.55518
1200,2.27936,-5.15251,-6.6657,-9.46045,-2.68555,-18.12744,3.07426,-5.10462,-6.75189,-18.9209,20.87402,-35.70557
1300,2.90188,-5.66967,-6.88597,-10.62012,-3.78418,-17.76123,3.53397,-6.00487,-7.22596,-10.37598,23.07129,-22.3999
1400,1.86754,-6.12938,-7.39356,-9.52148,-4.88281,-16.96777,2.61935,-6.2012,-7.98734,-11.90186,13.30566,-13.00049
1500,1.72389,-6.12938,-7.60426,-10.13184,-5.24902,-17.33398,2.65766,-6.59387,-7.89636,-12.45117,17.57812,-17.82227
1600,1.84839,-6.23472,-7.29779,-11.23047,-6.04248,-15.80811,2.48048,-6.26824,-8.22198,-27.16064,15.38086,-14.83154
1700,2.04951,-5.61221,-6.89555,-10.92529,-6.40869,-15.38086,2.79174,-5.57869,-7.42229,-15.38086,29.29688,-14.5874
1800,2.2219,-5.67925,-6.71358,-11.2915,-7.50732,-14.22119,2.8923,-5.65531,-7.27863,-7.56836,31.18896,-13.85498
1900,1.81966,-5.01843,-6.67527,-12.75635,-8.8501,-13.06152,2.48527,-4.6928,-7.02484,-2.2583,37.53662,-21.1792
2000,2.07824,-5.43024,-5.91868,-14.52637,-8.8501,-13.06152,3.11736,-5.866,-6.15811,12.81738,31.86035,-31.98242
2100,3.57228,-6.3688,-7.02005,-13.85498,-8.8501,-12.39014,4.07987,-6.0336,-7.30258,16.41846,2.56348,-32.89795
2200,1.7622,-5.32489,-7.52764,-13.06152,-9.27734,-12.75635,2.54752,-5.28659,-8.39437,18.06641,-5.98145,-23.62061
2300,2.21232,-5.33447,-7.18286,-11.96289,-9.64355,-11.59668,2.88751,-5.39193,-7.81016,2.99072,2.56348,-19.83643
2400,2.44217,-7.16371,-7.73834,-11.96289,-9.27734,-13.18359,3.07426,-7.15892,-8.78225,-10.0708,1.52588,-10.68115
2500,1.68558,-4.89392,-6.92428,-11.96289,-11.1084,-12.39014,2.43738,-5.68883,-7.46539,-14.95361,9.39941,-9.58252
2600,2.5571,-5.84206,-6.28261,-11.2915,-11.77979,-10.80322,3.41904,-6.91949,-6.455,-9.15527,8.17871,-6.22559
2700,1.64727,-7.31694,-6.05276,-11.59668,-12.20703,-10.43701,2.3464,-7.36962,-6.48852,-22.46094,-1.77002,2.99072
2800,1.52277,-7.70003,-6.09107,-11.41357,-11.77979,-10.43701,2.27457,-7.47975,-6.93386,-8.72803,8.66699,5.37109
2900,2.60498,-6.34965,-7.54679,-11.71875,-12.57324,-9.27734,3.35679,-6.86682,-7.86284,-37.47559,13.12256,6.22559
3000,2.04951,-5.49728,-6.30176,-11.41357,-12.69531,-8.05664,2.70554,-5.60263,-6.52683,-6.22559,-7.50732,-1.15967
3100,3.69678,-8.42789,-7.38398,-12.08496,-12.26807,-7.69043,4.45337,-8.37522,-7.50848,56.15234,-10.86426,-2.62451
3200,1.1301,-6.08149,-5.6984,-12.08496,-12.26807,-10.00977,1.66642,-6.14374,-6.5364,-2.31934,-7.26318,19.22607
3300,0.83321,-5.10462,-4.66407,-11.41357,-11.90186,-10.00977,1.35517,-5.25785,-5.76065,-35.70557,-0.67139,8.97217
3400,2.03993,-6.88597,-5.96656,-12.45117,-11.90186,-8.8501,2.85878,-6.90991,-6.57471,10.86426,-6.10352,-8.48389
3500,3.87875,-6.56992,-8.05438,-11.71875,-12.26807,-8.8501,4.40549,-8.26029,-8.49493,53.77197,-8.30078,1.15967
3600,1.85797,-6.38796,-7.07751,-11.41357,-10.80322,-9.64355,2.39429,-6.53162,-7.8772,-22.76611,-28.56445,14.83154
3700,0.35435,-4.19479,-6.10064,-12.08496,-12.26807,-10.00977,0.8811,-4.07029,-7.40792,14.77051,6.95801,-4.02832
3800,1.427,-7.99692,-6.74231,-12.08496,-11.59668,-9.64355,2.74385,-8.38,-7.36004,37.17041,30.33447,-38.08594
3900,3.83086,-5.18124,-6.42627,-11.41357,-11.59668,-9.64355,4.47732,-5.05673,-6.58908,-11.77979,5.92041,-15.44189
4000,3.25623,-5.51644,-5.15251,-10.74219,-11.90186,-10.00977,3.84523,-5.58348,-5.55475,-30.45654,-7.8125,-7.87354
