timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
4400,-3.0168,1.8005,-8.97379,12.45117,13.18359,-5.61523,-3.55312,1.63769,-9.56757,-12.51221,39.85596,-25.63477
4500,-2.18359,3.20834,-11.52131,11.71875,13.67188,-5.5542,-2.69118,3.4382,-12.83817,-100.5249,23.86475,-32.04346
4600,0.49801,3.78297,-11.6937,10.25391,14.4043,-10.80322,1.28813,8.58591,-10.74077,-168.5791,-32.10449,-88.68408
4700,1.36953,4.22352,-10.00812,8.17871,12.26807,-13.85498,0.24422,0.74702,-10.89879,-77.75879,-33.93555,17.15088
4800,-0.48843,2.24105,-5.53559,8.48389,10.43701,-14.64844,-0.92419,3.04074,-6.44542,15.38086,-18.18848,34.91211
4900,-2.32725,3.44777,-10.16135,9.64355,7.69043,-15.50293,-3.49566,2.58583,-11.12865,107.72705,-26.9165,-25.6958
5000,-3.53397,2.56668,-10.88922,10.62012,10.49805,-13.5498,-4.32887,1.3839,-10.51092,123.7793,-5.49316,60.18066
5100,-2.99765,1.69516,-9.35687,12.08496,13.73291,-10.49805,-3.0168,2.94018,-9.65377,78.79639,-12.08496,76.47705
5200,-0.83321,1.60896,-10.40078,13.85498,12.69531,-7.20215,-0.72786,3.73988,-12.62268,32.59277,-51.14746,-26.7334
5300,2.16444,2.41344,-11.10949,14.22119,12.08496,-4.15039,2.3895,1.72389,-11.97144,-51.2085,-42.17529,-80.68848
5400,5.5739,4.45337,-10.64979,12.93945,13.42773,-5.24902,5.50686,4.70717,-10.83654,-143.18848,-104.73633,-147.76611
5500,2.2219,3.83086,-9.29941,9.94873,14.64844,-6.83594,1.20193,0.78054,-10.28107,-87.64648,9.64355,65.61279
5600,-2.04951,2.72949,-9.21322,10.62012,13.91602,-10.43701,-2.04472,4.39112,-9.68729,-116.39404,96.80176,124.93896
5700,-2.8061,2.95934,-7.39356,12.45117,10.00977,-11.96289,-2.36077,4.43422,-7.47496,-9.70459,-6.71387,-126.34277
