Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-10-15 11:49:41.0,-0.01412,-0.27420,9.92272,-0.01915,-1.96332,-9.73038,-11.23047,6.34766,-15.01465,-503,-23,-84,776,-6594,14924,-1281,-0.15323,-2.72949,-8.95463,25.51270,2.80762,-0.06104,3,39,135
2024-10-15 11:49:41.1,1.80204,-3.57426,9.78856,1.17799,-5.27701,-9.08871,-11.90186,7.38525,-15.80811,-270,535,1001,493,-6147,15135,-1162,0.92419,-6.49810,-8.93069,17.45605,-35.33936,67.81006,0,37,136
2024-10-15 11:49:41.2,1.80478,-2.00730,8.68184,-0.10535,-3.86917,-8.22677,-10.13184,9.15527,-16.60156,-3,-323,224,348,-5457,15407,-1080,1.82924,-3.62495,-8.30818,-4.08936,30.45654,6.28662,0,35,137
2024-10-15 11:49:41.3,-0.74994,-0.41974,9.50524,0.34478,-1.34080,-9.44307,-10.49805,9.52148,-15.80811,358,-503,-1344,903,-6249,15079,-1094,0.65603,-1.81487,-9.61067,-25.87891,27.70996,-80.07812,3,38,133
2024-10-15 11:49:41.4,-0.97050,1.59638,9.47444,-0.70871,-0.33520,-9.62503,-12.26807,7.01904,-14.22119,385,546,-672,824,-7062,14676,-1581,-0.78533,-0.80927,-10.18051,-20.87402,-35.03418,-36.25488,3,39,135
2024-10-15 11:49:41.5,1.16134,0.49398,7.89513,-0.61294,-2.42302,-7.59468,-11.23047,5.24902,-16.60156,53,683,496,346,-6957,14698,-1971,-0.23943,-3.30890,-7.54200,0.06104,-39.67285,32.83691,8,40,139
2024-10-15 11:49:41.6,3.31839,-1.01757,12.31151,-0.22985,-5.65052,-11.47342,-10.13184,5.61523,-17.27295,-441,287,270,-95,-6558,14890,-1922,1.22588,-6.80935,-13.61392,26.36719,-2.19727,10.31494,3,37,139
2024-10-15 11:49:41.7,0.33726,0.42023,8.78874,0.03831,-1.70473,-8.63859,-9.15527,6.71387,-16.47949,147,-589,-660,189,-6883,14771,-1683,-0.06704,-2.07824,-8.67690,-13.91602,33.26416,-36.86523,6,41,138
2024-10-15 11:49:41.8,-0.30421,1.18116,9.64675,-0.27774,-1.04391,-9.66334,-10.49805,6.04248,-16.11328,24,-224,-750,385,-7394,14518,-1683,1.11574,-1.43657,-10.13262,-5.98145,16.35742,-52.00195,5,38,136
2024-10-15 11:49:41.9,-2.17568,0.99943,8.42912,0.67040,0.45970,-8.72478,-11.90186,4.57764,-15.38086,334,-183,-1169,522,-8303,13997,-1818,0.76617,-0.01915,-8.77746,-23.13232,15.25879,-63.41553,10,41,135
2024-10-15 11:49:42.0,-0.79417,-1.99190,8.13608,2.53794,-2.18359,-7.71918,-12.75635,1.70898,-14.40430,394,-357,-424,870,-8957,13537,-2046,2.01120,-3.00722,-8.28423,-17.57812,21.24023,-9.21631,13,42,134
2024-10-15 11:49:42.1,-0.36178,-0.08346,8.62506,0.52674,-1.92501,-8.39916,-13.06152,1.03760,-15.13672,-346,16,201,927,-8970,13542,-1933,0.49322,-2.35119,-8.97858,22.21680,-0.12207,18.92090,12,42,134
2024-10-15 11:49:42.2,0.13593,0.96295,8.71009,-0.54590,-1.64727,-8.59070,-13.42773,2.13623,-15.13672,-265,411,659,668,-8616,13810,-1744,-0.40224,-2.21232,-8.66732,13.36670,-28.74756,41.01562,9,42,136
2024-10-15 11:49:42.3,0.35315,1.03523,9.07775,-0.37351,-1.81008,-8.95463,-11.71875,2.80762,-16.29639,155,371,713,363,-8077,14123,-1903,0.27295,-1.99205,-8.77267,-13.54980,-18.67676,43.82324,8,38,138
